title,storeTypes,commonName,postalCode,formattedAddress,extendedAddress,drivingDirections,latitude,longitude,phoneData,operatingHours,chargingInfo,amenities,imageName,url
음성  -  대소,수퍼차저,,"""27660""",충청북도 음성군 대성로 77번길25-18,,"https://maps.google.com/maps?daddr=36.977227,127.48903",36.977227,127.48903,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 8 수퍼차저,beverage|restrooms,31723.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31723
성남  -  서현,수퍼차저,,,경기도 성남시 황새울로 311번길28,,"https://maps.google.com/maps?daddr=37.38618,127.12026",37.38618,127.12026,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 9 수퍼차저,beverage|restrooms,31715.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31715
부산  -  하단 아트몰링(무료주차30분),수퍼차저,,"""49311""",부산광역시 낙동남로 1413,,"https://maps.google.com/maps?daddr=35.106746,128.967081",35.106746,128.967081,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 6 수퍼차저,restaurants|shopping|beverage|restrooms,31739.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31739
서울  -  여의도 CCMM,수퍼차저,,"""07241""",서울특별시 여의공원로101,,"https://maps.google.com/maps?daddr=37.52888,126.92485",37.52888,126.92485,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 6 수퍼차저,restaurants|wifi|beverage|restrooms,31975.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31975
안양  -  평촌 (주차비 여부),수퍼차저,,"""14066""",경기도 안양시 관평로170번길33,,"https://maps.google.com/maps?daddr=37.39283,126.9618",37.39283,126.9618,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 6 수퍼차저,restaurants|wifi|shopping|beverage|restrooms,gyeonggianyangsupercharger.png,https://www.tesla.com/ko_kr/findus/location/supercharger/gyeonggianyangsupercharger
화성  -  서동탄 카페 아스타나,수퍼차저,,"""18385""",경기도 화성시 효행로1203-8,,"https://maps.google.com/maps?daddr=37.2188,127.05464",37.2188,127.05464,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 8 수퍼차저,restaurants|beverage|restrooms,31704.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31704
에피소드 서초,수퍼차저,,"""06628""",서울특별시 서초동1338-5 에피소드 서초 B5F,서초2동,"https://maps.google.com/maps?daddr=37.4897,127.0299",37.4897,127.0299,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 6 수퍼차저,beverage|restrooms,32447.png,https://www.tesla.com/ko_kr/findus/location/supercharger/32447
서울  -  강동,수퍼차저,,"""05203""",서울특별시 고덕비즈밸리로  435,,"https://maps.google.com/maps?daddr=37.567944,127.160551",37.567944,127.160551,,,충전최대 250kW로 연중 무휴 이용 가능한 9 수퍼차저,,31707.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31707
서울  -  고척 아이파크몰(아이파크몰 앱 주중 무료주차 월 300분 제공),수퍼차저,,"""08226""",서울특별시 경인로43길49,,"https://maps.google.com/maps?daddr=37.49904,126.85962",37.49904,126.85962,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 8 수퍼차저,restaurants|shopping|beverage|restrooms,31866.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31866
이천,수퍼차저,,"""17406""",경기도 이천시 사실로984,모가면,"https://maps.google.com/maps?daddr=37.1964,127.4459",37.1964,127.4459,긴급 출동 서비스: 080 617 1399,,충전최대 250kW로 연중 무휴 이용 가능한 8 수퍼차저,restaurants|lodging|beverage|restrooms,31728.png,https://www.tesla.com/ko_kr/findus/location/supercharger/31728
